lf_move_id,lf_nome,data,valor_insumos_5902,chave,fb_move_id,fb_nome,fb_data,lf_periodo,fb_periodo
178011,VND/2025/00081,2025-02-14,2016.29,35250218467441000163550010000112571001780110,179026,ENTSI/2025/02/0074,2025-02-17,FECHADO,FECHADO
178275,VND/2025/00082,2025-02-14,39732.39,35250218467441000163550010000112591001782753,178543,ENTSI/2025/02/0069,2025-02-14,FECHADO,FECHADO
178478,VND/2025/00084,2025-02-14,28047.76,35250218467441000163550010000112621001784786,178563,ENTSI/2025/02/0070,2025-02-14,FECHADO,FECHADO
178641,VND/2025/00085,2025-02-17,37864.46,35250218467441000163550010000112631001786417,178964,ENTSI/2025/02/0071,2025-02-17,FECHADO,FECHADO
179997,VND/2025/00087,2025-02-18,37960.59,35250218467441000163550010000112661001799979,180781,ENTSI/2025/02/0076,2025-02-20,FECHADO,FECHADO
179954,VND/2025/00086,2025-02-18,11429.55,35250218467441000163550010000112651001799548,180805,ENTSI/2025/02/0077,2025-02-20,FECHADO,FECHADO
180578,VND/2025/00090,2025-02-19,9348.6,35250218467441000163550010000112701001805785,180831,ENTSI/2025/02/0078,2025-02-20,FECHADO,FECHADO
180552,VND/2025/00089,2025-02-19,8.37,35250218467441000163550010000112691001805520,180857,ENTSI/2025/02/0079,2025-02-20,FECHADO,FECHADO
180130,VND/2025/00088,2025-02-19,3138.78,35250218467441000163550010000112671001801300,180723,ENTSI/2025/02/0075,2025-02-19,FECHADO,FECHADO
181059,VND/2025/00091,2025-02-20,23152.44,35250218467441000163550010000112731001810594,181894,ENTSI/2025/02/0080,2025-02-21,FECHADO,FECHADO
181092,VND/2025/00092,2025-02-20,58017.69,35250218467441000163550010000112741001810923,181909,ENTSI/2025/02/0081,2025-02-21,FECHADO,FECHADO
181968,VND/2025/00096,2025-02-21,7676.41,35250218467441000163550010000112821001819680,183455,ENTSI/2025/02/0082,2025-02-25,FECHADO,FECHADO
181727,VND/2025/00095,2025-02-21,11118.21,35250218467441000163550010000112801001817275,183570,ENTSI/2025/02/0084,2025-02-25,FECHADO,FECHADO
181589,VND/2025/00094,2025-02-21,2426.6,35250218467441000163550010000112791001815891,183526,ENTSI/2025/02/0083,2025-02-25,FECHADO,FECHADO
181500,VND/2025/00093,2025-02-21,75694.72,35250218467441000163550010000112771001815005,183833,ENTSI/2025/02/0089,2025-02-25,FECHADO,FECHADO
182326,VND/2025/00099,2025-02-22,17414.93,35250218467441000163550010000112881001823265,183821,ENTSI/2025/02/0088,2025-02-25,FECHADO,FECHADO
182296,VND/2025/00098,2025-02-22,17414.93,35250218467441000163550010000112861001822965,183867,ENTSI/2025/02/0090,2025-02-25,FECHADO,FECHADO
182841,VND/2025/00102,2025-02-24,102209.91,35250218467441000163550010000112911001828416,183581,ENTSI/2025/02/0085,2025-02-25,FECHADO,FECHADO
182835,VND/2025/00101,2025-02-24,11645.35,35250218467441000163550010000112901001828354,183773,ENTSI/2025/02/0087,2025-02-25,FECHADO,FECHADO
182799,VND/2025/00100,2025-02-24,20376.03,35250218467441000163550010000112891001827993,183740,ENTSI/2025/02/0086,2025-02-25,FECHADO,FECHADO
182893,VND/2025/00103,2025-02-24,21972.5,35250218467441000163550010000112931001828933,184258,ENTSI/2025/02/0091,2025-02-25,FECHADO,FECHADO
183463,VND/2025/00104,2025-02-25,4417.09,35250218467441000163550010000112951001834636,184285,ENTSI/2025/02/0092,2025-02-25,FECHADO,FECHADO
183883,VND/2025/00105,2025-02-25,9944.37,35250218467441000163550010000112961001838833,184312,ENTSI/2025/02/0093,2025-02-25,FECHADO,FECHADO
184324,VND/2025/00106,2025-02-25,14629.78,35250218467441000163550010000112991001843243,185027,ENTSI/2025/02/0094,2025-02-26,FECHADO,FECHADO
184763,VND/2025/00107,2025-02-26,14629.79,35250218467441000163550010000113011001847630,185489,ENTSI/2025/02/0095,2025-02-27,FECHADO,FECHADO
185059,VND/2025/00108,2025-02-26,96129.72,35250218467441000163550010000113041001850594,185831,ENTSI/2025/02/0096,2025-02-27,FECHADO,FECHADO
186139,VND/2025/00113,2025-02-27,21670.36,35250218467441000163550010000113101001861399,186850,ENTSI/2025/02/0100,2025-02-28,FECHADO,FECHADO
185587,VND/2025/00110,2025-02-27,4417.27,35250218467441000163550010000113061001855876,185966,ENTSI/2025/02/0099,2025-02-27,FECHADO,FECHADO
185528,VND/2025/00109,2025-02-27,4858.14,35250218467441000163550010000113051001855283,185944,ENTSI/2025/02/0098,2025-02-27,FECHADO,FECHADO
185766,VND/2025/00112,2025-02-27,57883.84,35250218467441000163550010000113091001857668,186925,ENTSI/2025/02/0103,2025-02-28,FECHADO,FECHADO
185592,VND/2025/00111,2025-02-27,34332.04,35250218467441000163550010000113071001855920,185850,ENTSI/2025/02/0097,2025-02-27,FECHADO,FECHADO
186475,VND/2025/00114,2025-02-28,6866.41,35250218467441000163550010000113111001864751,186904,ENTSI/2025/02/0102,2025-02-28,FECHADO,FECHADO
186500,VND/2025/00115,2025-02-28,14833.96,35250218467441000163550010000113121001865003,186880,ENTSI/2025/02/0101,2025-02-28,FECHADO,FECHADO
