21	11	LOTE_407398BB	29.884.092/0002-82	REDE DILETTARE	VCD2519565	\N	\N	136052	0	984.56	16210.84	PR	Foz do Iguaçu	\N	FRETE PESO	INTERIOR	0.9	0	0	0	\N	0.2	3.5	0	0	0	0	0	f	0.12	\N	ativo	\N
25	12	LOTE_069DD417	11.996.870/0001-89	IRANI MAGGIORE ALIMENTOS SEM GLUTEN LTDA	VCD2519533	\N	\N	\N	0	99	1831.9099999999999	SP	Ribeirão Preto	11	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	NF_NAO_PREENCHIDA	cancelado	\N
23	12	LOTE_ADD8CA84	93.209.765/0626-51	ATACADAO 626	VCD2519455	2506060048893.0	17/06/2025	136049	0	2292.28	31056.48	SP	Ribeirão Preto	11	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
24	12	LOTE_FC10C76D	93.209.765/0641-90	ATACADAO 641	VCD2519442	2506060049563.0	16/06/2025	136046	0	1435.82	20633.43	SP	Ribeirão Preto	11	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
396	195	LOTE_458DA63D	06.057.223/0460-82	REDE ASSAI LJ 233	VCD2519802	1948141	25/06/2025	\N	0	21.9	323.37	SP	Itapevi	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	NF_NAO_PREENCHIDA	cancelado	0.01948051948051948
6	5	LOTE_18B32F64	09.182.947/0009-92	MERCANTIL RODRIGUES	VCD2519524	\N	\N	136036	0	1469.19	18305.1	BA	Lauro de Freitas	\N	FRETE PESO	CAPITAL	0.94	0	83.84	0	\N	0.35	3.5	0	0	0	0	0	f	0.07	\N	ativo	\N
265	154	LOTE_AA8B9D26	75.315.333/0341-94	ATACADAO 341	VCD2519245	2506120031029	03/07/2025	\N	0	656	6348.8	BA	Salvador	\N	FRETE PESO	CAPITAL	0.94	0	83.84	0	\N	0.35	3.5	0	0	0	0	0	f	0.07	NF_NAO_PREENCHIDA	cancelado	1.1428571428571428
896	389	LOTE_A76A2EBD	45.762.979/0001-73	LIDER IND E COM LTDA	VCD2520180			\N	\N	1419.02	4017.6900000000005	SP	Guarulhos	\N	VAN/HR	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	0.12	\N	cancelado	1.669642857142857
621	286	LOTE_298036DA	07.570.682/0002-06	SOLMAR	VCD2519531	\N	\N	136599	0	6613.2	85724.44	SP	Guarulhos	283	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N	ativo	\N
70	31	LOTE_44C4A87A	10.834.063/0001-05	MISTER PIZZA	VCD2519572	\N	\N	136019	0	176.16	2391.19	ES	Vila Velha	\N	FRETE PESO	CAPITAL	0.7	0	189.45	0	\N	0.5	0	0	0	0	119.45	0	f	0.07	\N	ativo	\N
