51	4510161	COGUMELO FATIADO - BD 6X1,01 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-3.000	Baixa automática NF 136876 - lote separação LOTE_D5E425AF	2025-07-24 23:55:10.641315	2025-07-24 23:55:10.641329	Sincronização Odoo	\N	t
52	4350150	AZEITONA VERDE RECHEADA - POUCH 18X170 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-1.000	Baixa automática NF 136876 - lote separação LOTE_D5E425AF	2025-07-24 23:55:10.643357	2025-07-24 23:55:10.64337	Sincronização Odoo	\N	t
53	4830103	KETCHUP - GL 4X3,05 KG - ST ISABEL	2025-07-24	FATURAMENTO	VENDA	-7.000	Baixa automática NF 136876 - lote separação LOTE_D5E425AF	2025-07-24 23:55:10.645567	2025-07-24 23:55:10.645578	Sincronização Odoo	\N	t
54	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-30.000	Baixa automática NF 136880 - lote separação LOTE_5238302C	2025-07-24 23:55:10.653918	2025-07-24 23:55:10.653932	Sincronização Odoo	\N	t
55	4310165	AZEITONA VERDE  INTEIRA MEDIA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-20.000	Baixa automática NF 136880 - lote separação LOTE_5238302C	2025-07-24 23:55:10.65575	2025-07-24 23:55:10.655762	Sincronização Odoo	\N	t
56	4310164	AZEITONA VERDE  INTEIRA MIUDA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-30.000	Baixa automática NF 136880 - lote separação LOTE_5238302C	2025-07-24 23:55:10.657494	2025-07-24 23:55:10.657505	Sincronização Odoo	\N	t
57	4360162	AZEITONA VERDE SEM CAROCO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-15.000	Baixa automática NF 136880 - lote separação LOTE_5238302C	2025-07-24 23:55:10.659308	2025-07-24 23:55:10.659319	Sincronização Odoo	\N	t
58	4040145	ALCAPARRA - POUCH 30X100 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-1.000	Baixa automática NF 136880 - lote separação LOTE_5238302C	2025-07-24 23:55:10.661034	2025-07-24 23:55:10.661045	Sincronização Odoo	\N	t
59	4320147	AZEITONA VERDE FATIADA - POUCH 18X150 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-1.000	Baixa automática NF 136880 - lote separação LOTE_5238302C	2025-07-24 23:55:10.662794	2025-07-24 23:55:10.662805	Sincronização Odoo	\N	t
60	4080154	PEPINO - POUCH 12X300 G - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136880 - lote separação LOTE_5238302C	2025-07-24 23:55:10.664528	2025-07-24 23:55:10.664538	Sincronização Odoo	\N	t
61	4080165	PEPINO BURGUER EM RODELAS - BD 6X1,01 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136880 - lote separação LOTE_5238302C	2025-07-24 23:55:10.666357	2025-07-24 23:55:10.666368	Sincronização Odoo	\N	t
62	4040162	ALCAPARRA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.674964	2025-07-24 23:55:10.674976	Sincronização Odoo	\N	t
63	4250162	AZEITONA PRETA SEM CAROCO - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-5.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.677016	2025-07-24 23:55:10.677028	Sincronização Odoo	\N	t
64	4320162	AZEITONA VERDE FATIADA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-15.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.678832	2025-07-24 23:55:10.678842	Sincronização Odoo	\N	t
65	4310166	AZEITONA VERDE  INTEIRA GRAUDA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-10.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.680489	2025-07-24 23:55:10.680498	Sincronização Odoo	\N	t
66	4310164	AZEITONA VERDE  INTEIRA MIUDA - BD 6X2 KG - CAMPO BELO	2025-07-24	FATURAMENTO	VENDA	-10.000	Baixa automática NF 136877 - lote separação LOTE_C308FFBA	2025-07-24 23:55:10.682249	2025-07-24 23:55:10.682259	Sincronização Odoo	\N	t
