cod,qty_solicitada,cod_status,transf_idx,lot_id_origem,lote_origem_nome,location_id_origem,qty_pretendida,qty_movida,transf_status,tempo_ms_transf
104000015,26521.94889,DRY_RUN_OK,9,59488,13222,8,150.304,150.304,DRY_RUN_OK,52
104000015,26521.94889,DRY_RUN_OK,10,59572,13224,8,36.3744,36.3744,DRY_RUN_OK,50
104000015,26521.94889,DRY_RUN_OK,11,59745,13225,8,191.296,191.296,DRY_RUN_OK,46
104000015,26521.94889,DRY_RUN_OK,12,59811,13229,8,36.722,36.722,DRY_RUN_OK,53
104000015,26521.94889,DRY_RUN_OK,13,59775,13231,8,0.8081,0.8081,DRY_RUN_OK,44
104000015,26521.94889,DRY_RUN_OK,14,59793,13233,8,447.4363,447.4363,DRY_RUN_OK,46
104000015,26521.94889,DRY_RUN_OK,15,2523,2207/24,8,2e-05,2e-05,DRY_RUN_OK,48
104000015,26521.94889,DRY_RUN_OK,16,2699,2307/24,8,3e-05,3e-05,DRY_RUN_OK,50
104000015,26521.94889,DRY_RUN_OK,17,2773,2407/24,8,4e-05,4e-05,DRY_RUN_OK,44
104000015,26521.94889,DRY_RUN_OK,18,2905,2507/24,8,4e-05,4e-05,DRY_RUN_OK,50
104000015,26521.94889,DRY_RUN_OK,19,20895,2711/24,27458,5e-05,5e-05,DRY_RUN_OK,46
104000015,26521.94889,DRY_RUN_OK,20,17850,304/24,8,2e-05,2e-05,DRY_RUN_OK,48
104000015,26521.94889,DRY_RUN_OK,21,58303,LF/Estoque - MI062,27458,373.664,373.664,DRY_RUN_OK,41
104000015,26521.94889,DRY_RUN_OK,22,53776,MI 027-098/26,8,1642.0506,1642.0506,DRY_RUN_OK,46
104000015,26521.94889,DRY_RUN_OK,23,53776,MI 027-098/26,27458,167.0848,167.0848,DRY_RUN_OK,45
104000015,26521.94889,DRY_RUN_OK,24,26556,MI008-024/25,8,4e-05,4e-05,DRY_RUN_OK,63
104000015,26521.94889,DRY_RUN_OK,25,22498,MI103/338/24,8,4.5e-05,4.5e-05,DRY_RUN_OK,55
104000015,26521.94889,DRY_RUN_OK,26,57576,P-15/05,8,9415.008954999996,9415.008954999996,DRY_RUN_OK,51
210010347,28420.0,DRY_RUN_OK,1,13930,24843,8,28420.0,28420.0,DRY_RUN_OK,52
209000450,28916.0,DRY_RUN_OK,1,59634,13201,8,28478.0,28478.0,DRY_RUN_OK,52
209000450,28916.0,DRY_RUN_OK,2,59708,13227,8,237.0,237.0,DRY_RUN_OK,49
209000450,28916.0,DRY_RUN_OK,3,59719,13228,8,201.0,201.0,DRY_RUN_OK,56
210030333,29800.0,DRY_RUN_OK,1,59664,13203,8,7008.0,7008.0,DRY_RUN_OK,43
210030333,29800.0,DRY_RUN_OK,2,59300,13219,8,1024.0,1024.0,DRY_RUN_OK,51
210030333,29800.0,DRY_RUN_OK,3,59482,13222,8,2816.0,2816.0,DRY_RUN_OK,45
210030333,29800.0,DRY_RUN_OK,4,59739,13225,8,3584.0,3584.0,DRY_RUN_OK,51
210030333,29800.0,DRY_RUN_OK,5,59805,13229,8,688.0,688.0,DRY_RUN_OK,55
210030333,29800.0,DRY_RUN_OK,6,55425,26198,8,14680.0,14680.0,DRY_RUN_OK,62
301100014,31180.264,DRY_RUN_PARCIAL,1,55997,138/26,48,6587.52,6587.52,DRY_RUN_OK,51
301100014,31180.264,DRY_RUN_PARCIAL,2,55997,138/26,8,3565.48,3565.48,DRY_RUN_OK,53
301100014,31180.264,DRY_RUN_PARCIAL,3,55997,138/26,4066,12.6,12.6,DRY_RUN_OK,51
301100014,31180.264,DRY_RUN_PARCIAL,4,56000,139/26,4068,213.84,213.84,DRY_RUN_OK,48
301100014,31180.264,DRY_RUN_PARCIAL,5,58306,140/26,8,6594.0,6594.0,DRY_RUN_OK,49
301100014,31180.264,DRY_RUN_PARCIAL,6,56008,141/26,8,2110.284,2110.284,DRY_RUN_OK,55
301100014,31180.264,DRY_RUN_PARCIAL,7,59257,142/26,8,8842.32,8842.32,DRY_RUN_OK,49
301100014,31180.264,DRY_RUN_PARCIAL,8,59257,142/26,4066,1180.2,1180.2,DRY_RUN_OK,53
301100014,31180.264,DRY_RUN_PARCIAL,9,59257,142/26,4068,105.0,105.0,DRY_RUN_OK,52
